# Ship Data
#
# WeaponData: Type|Width|FireTicks|RefireTicks|Range|Damage|OffsetX|OffsetY>(next...)
# 0:Laser, 1:Base, 2:Repair, 3:Missile, 4:Mine, 5:Shield
# Missile Weapon: 3|Width|FireTicks|RefireTicks|Range|Damage|OffsetX|OffsetY|Speed|Tracking>(next...)

Id,Type,Key,PreReqTechIds,Image,Width,Height,Health,NumPilots,Speed,ScanRange,Signature,WeaponData,BaseType
1,Scout,S,1,krael_scout.png,32,32,40,1,4,300,1,2|1|5|20|75|-5|-12|-2>2|1|5|20|75|-5|12|-2>4|100|10|130|200|1|0|0,0
2,Fighter,F,1,krael_fighter.png,32,32,50,1,4,100,1,0|2|5|10|100|5|-10|-6>0|2|5|10|100|5|10|-6>3|4|5|30|350|5|0|-14|9|4,0
3,Bomber,B,4,krael_bomber.png,26,30,300,3,2,200,3,0|2|5|15|150|5|-5|-11>0|2|5|15|150|5|5|-11>1|2|15|40|60|20|0|-2,0
4,Interceptor,I,32,krael_interceptor.png,22,31,160,1,5,100,1,3|4|5|30|350|5|-8|-10|9|4>3|4|5|30|350|5|8|-3|9|4>3|4|5|30|350|5|-8|3|9|4>3|4|5|30|350|5|8|10|9|4,0

5,Lifepod,L,,krael_drone.png,16,16,5,1,2,50,0.5,,0
6,Constructor,C,1,krael_constructor.png,32,32,200,0,2,100,1,,Outpost
7,Constructor,C,1,krael_constructor.png,32,32,300,0,2,150,1,,Starbase
8,Constructor,C,1,krael_constructor.png,32,32,200,0,2,100,1,,Resource
9,Constructor,C,1,krael_constructor.png,32,32,300,0,2,150,1,,Tactical
10,Constructor,C,1,krael_constructor.png,32,32,300,0,2,150,1,,Supremacy
11,Constructor,C,1,krael_constructor.png,32,32,300,0,2,150,1,,Expansion
12,Constructor,C,1,krael_constructor.png,32,32,300,0,2,150,1,,Shipyard
13,Miner,1,M,krael_miner.png,32,32,400,0,2,100,1,,0
14,Bomber,B,6,krael_bomber-hvy.png,26,30,500,3,3,200,3,0|2|3|15|150|7|-5|-11>0|2|3|15|150|7|5|-11>1|2|15|40|60|30|0|-2,0

20,Scout,S,3,krael_scout-adv.png,32,32,60,1,5,400,1,2|1|5|20|100|-6|-12|-2>2|1|5|20|100|-6|12|-2>4|100|10|130|200|2|0|0,0
22,Scout,S,8,krael_scout-hvy.png,32,32,70,1,6,500,1,2|1|3|15|100|-7|-12|-2>2|1|3|15|100|-7|12|-2>4|100|10|130|200|3|0|0,0
24,Interceptor,I,34,krael_interceptor-hvy.png,22,31,200,1,6,100,1,3|4|5|30|400|10|-8|-10|9|4>3|4|5|30|400|10|8|-3|9|4>3|4|5|30|400|10|-8|3|9|4>3|4|5|30|400|10|8|10|9|4,0
25,Fighter,F,42,krael_fighter-enh.png,32,32,60,1,5,150,1,0|2|5|10|125|9|-10|-6>0|2|5|10|125|9|10|-6>3|4|5|30|400|7|0|-14|9|4,0
26,Fighter,F,44,krael_fighter-adv.png,32,32,70,1,6,200,1,0|2|5|10|150|10|-10|-6>0|2|5|10|150|10|10|-6>3|4|5|30|400|8|0|-14|9|4,0

28,StealthFighter,T,52,krael_stealthripper.png,28,30,60,1,5,150,0.2,0|2|5|10|60|15|-13|2>0|2|5|10|60|15|13|2,0
29,StealthFighter,T,53,krael_stealthripper-adv.png,28,30,70,1,6,200,0.1,0|2|5|10|60|25|-13|2>0|2|5|10|60|25|13|2>,0
30,StealthBomber,O,54,krael_stealthripper-base.png,30,30,120,1,4,200,0.4,0|2|5|10|60|10|-14|-3>0|2|5|10|60|10|14|-3>1|2|15|40|60|30|0|-2,0
31,StealthBomber,O,55,krael_stealthripper-base-adv.png,30,30,160,1,4,250,0.3,0|2|5|10|60|15|-14|-3>0|2|5|10|60|15|14|-3>1|2|15|30|60|40|0|-2,0

40,TroopTransport,P,33,krael_transport.png,26,30,500,3,3,200,2,1|2|15|30|50|20|1|-13,0

# Add Laser & Repair DRONE Ships & Weapon to Scout, Fighter, Constructors, Miner, Bomber, Caps,
50,CarrierDrone,,,krael_drone.png,16,16,10,0,7,50,1,0|2|5|10|100|5|0|0,0
51,CarrierDrone,,,krael_drone.png,16,16,10,0,7,50,1,2|1|5|20|75|-5|0|0,0

99,SupportCarrier,C,100,krael_capsupport.png,48,44,700,0,2,500,2,0|2|5|16|150|10|0|-20>2|1|5|10|200|-5|-9|0>2|1|5|10|200|-5|9|0>4|100|20|80|200|1|0|12,0
100,SuperCarrier,C,101,krael_capsupercarrier.png,62,64,1400,0,2,300,2,2|1|5|10|200|0|-32|0>0|2|5|16|250|10|-30|0>0|2|5|16|250|10|30|0>3|4|5|25|400|8|0|-10|10|5,0
101,Megalodon,C,102|4,krael_capmegladon.png,60,66,2800,0,3,300,2,3|4|5|25|400|15|-4|-15|10|5>3|4|5|25|400|15|4|-15|10|5>0|2|5|16|250|15|-10|-29>0|2|5|16|250|15|10|-29>1|2|15|30|60|50|-15|0>1|2|15|30|60|50|15|0,0
