# WeaponData: Type|Width|FireTime|RefireDelay|Range|Damage|OffsetX|OffsetY>(repeating...)
Id,Type,Key,PreReqTechIds,Image,Width,Height,Health,NumPilots,Speed,ScanRange,Signature,WeaponData,BaseType
1,Scout,S,1,.\Art\Trans\Dn_hisctbmp.png,16,16,20,1,4,300,1,2|1|250|1000|75|-5|0|0,0
2,Fighter,F,1,.\Art\Trans\Dn_hifigbmp.png,16,16,25,1,4,100,1,0|2|250|500|100|5|0|0,0
3,Bomber,B,4,.\Art\Trans\Dn_hibmbbmp.png,16,16,75,3,2,100,3,0|2|250|1000|150|5|-6|0>0|2|250|1000|150|5|6|0>1|2|1000|2000|150|5|0|-2,0
4,Interceptor,I,32,.\Art\Trans\Dn_hiintbmp.png,16,16,30,1,5,100,1,0|2|200|800|75|6|-6|0>0|2|200|800|75|6|6|0,0

5,Lifepod,L,,.\Art\Trans\Ap_lifepod.png,16,16,5,1,2,50,0.5,,0
6,Constructor,1,C,.\Art\Trans\Dn_hiconbmp.png,16,16,100,0,2,100,1,,Outpost
7,Constructor,1,C,.\Art\Trans\Dn_hiconbmp.png,16,16,100,0,2,150,1,,Starbase
8,Constructor,1,C,.\Art\Trans\Dn_hiconbmp.png,16,16,100,0,2,100,1,,Refinery
9,Constructor,1,C,.\Art\Trans\Dn_hiconbmp.png,16,16,100,0,2,150,1,,Tactical
10,Constructor,1,C,.\Art\Trans\Dn_hiconbmp.png,16,16,100,0,2,150,1,,Supremacy
11,Constructor,1,C,.\Art\Trans\Dn_hiconbmp.png,16,16,100,0,2,150,1,,Expansion
12,Miner,1,M,.\Art\Trans\Dn_himnrbmp.png,16,16,100,0,2,100,1,,0
13,Bomber,B,6,.\Art\Trans\Dn_hibmbhvybmp.png,16,16,90,3,2,100,3,0|2|250|1000|150|7|-6|0>0|2|250|1000|150|7|6|0>1|2|1000|2000|150|7|0|-2,0

20,Scout,S,3,.\Art\Trans\Dn_hisctadvbmp.png,16,16,30,1,5,500,1,2|1|250|1000|100|-5|0|0,0
21,Gunship,G,5,.\Art\Trans\Dn_hignsbmp.png,16,16,75,3,4,100,2,0|2|250|1000|150|5|-6|0>0|2|250|1000|150|5|6|0>0|2|250|1000|150|5|0|-2,0
22,Scout,S,8,.\Art\Trans\Dn_hiscthvybmp.png,16,16,35,1,6,500,1,2|1|150|750|100|-5|0|0,0
23,Gunship,G,7,.\Art\Trans\Dn_hignsbmp.png,16,16,85,3,5,300,2,0|2|250|800|150|7|-6|0>0|2|250|800|150|7|6|0>0|2|250|800|150|7|0|-2,0
24,Interceptor,I,34,.\Art\Trans\Dn_hiinthvybmp.png,16,16,40,1,6,100,1,0|2|200|800|100|8|-6|0>0|2|200|800|100|8|6|0,0

25,Fighter,F,42,.\Art\Trans\Dn_hifigenhbmp.png,16,16,30,1,5,150,1,0|2|250|500|125|7|0|0,0
26,Fighter,F,44,.\Art\Trans\Dn_hifigadvbmp.png,16,16,35,1,6,200,1,0|2|250|500|150|8|0|0,0
27,FighterBomber,X,43,.\Art\Trans\Dn_hibmbfigbmp.png,16,16,35,1,4,100,2,1|2|1000|2000|100|5|0|0,0

28,StealthFighter,T,52,.\Art\Trans\Dn_histlbmp.png,16,16,30,1,5,150,0.4,0|2|250|500|125|7|0|0,0
29,StealthFighter,T,53,.\Art\Trans\Dn_histladvbmp.png,16,16,35,1,6,200,0.25,0|2|250|500|150|8|0|0,0

30,StealthBomber,O,54,.\Art\Trans\Dn_hibmbstlbmp.png,16,16,30,1,4,100,0.5,1|2|1000|2000|100|5|0|0,0
31,StealthBomber,O,55,.\Art\Trans\Dn_hibmbstlbmp.png,16,16,35,1,4,100,0.3,1|2|1000|2000|125|5|0|0,0

40,TroopTransport,P,33,.\Art\Trans\Dn_hitrnbmp.png,16,16,75,1,4,100,1,,0
