# Ship Data
#
# WeaponData: Type|Width|FireTicks|RefireTicks|Range|Damage|OffsetX|OffsetY>(next...)
# Missile Weapon: Type|Width|FireTicks|RefireTicks|Range|Damage|OffsetX|OffsetY|Speed|Tracking>(next...)

Id,Type,Key,PreReqTechIds,Image,Width,Height,Health,NumPilots,Speed,ScanRange,Signature,WeaponData,BaseType
1,Scout,S,1,zoniqs_scout.png,16,16,20,1,4,300,1,2|1|5|20|75|-5|0|0>4|100|10|130|200|1|0|0,0
2,Fighter,F,1,zoniqs_fighter.png,16,16,25,1,4,100,1,0|2|5|10|100|5|0|0>3|4|5|30|350|5|0|0|8|4,0
3,Bomber,B,4,zoniqs_bomber.png,16,16,150,3,2,200,3,0|2|5|15|150|5|-6|0>0|2|5|15|150|5|6|0>1|2|15|30|175|20|0|-2,0
4,Interceptor,I,32,zoniqs_int.png,16,16,80,1,5,100,1,0|2|4|16|75|6|-6|0>0|2|4|16|75|6|6|0,0

5,Lifepod,L,,Ap_lifepod.png,16,16,5,1,2,50,0.5,,0
6,Constructor,C,1,zoniqs_con.png,16,16,100,0,2,100,1,,Outpost
7,Constructor,C,1,zoniqs_con.png,16,16,150,0,2,150,1,,Starbase
8,Constructor,C,1,zoniqs_con.png,16,16,100,0,2,100,1,,Resource
9,Constructor,C,1,zoniqs_con.png,16,16,150,0,2,150,1,,Tactical
10,Constructor,C,1,zoniqs_con.png,16,16,150,0,2,150,1,,Supremacy
11,Constructor,C,1,zoniqs_con.png,16,16,150,0,2,150,1,,Expansion
12,Constructor,C,1,zoniqs_con.png,16,16,150,0,2,150,1,,Shipyard
13,Miner,1,M,Dn_himnrbmp.png,16,16,200,0,2,100,1,,0
14,Bomber,B,6,zoniqs_bomber_hvy.png,16,16,250,3,3,200,3,0|2|3|15|150|7|-6|0>0|2|3|15|150|7|6|0>1|2|14|20|175|30|0|-2,0

20,Scout,S,3,zoniqs_scout_adv.png,16,16,30,1,5,400,1,2|1|5|20|100|-6|0|0>4|100|10|130|200|2|0|0,0
21,Gunship,G,5,zoniqs_gunship.png,16,16,125,3,4,100,2,0|2|5|20|150|5|-6|0>0|2|5|20|150|5|6|0>0|2|5|20|150|5|0|-2>3|4|5|30|350|5|0|0|8|4,0
22,Scout,S,8,zoniqs_scout_hvy.png,16,16,35,1,6,500,1,2|1|3|15|100|-7|0|0>4|100|10|130|200|3|0|0,0
23,Gunship,G,7,zoniqs_gunship.png,16,16,150,3,5,300,2,0|2|5|16|150|7|-6|0>0|2|5|16|150|7|6|0>0|2|5|16|150|7|0|-2>3|4|5|25|400|8|0|0|8|5,0
24,Interceptor,I,34,zoniqs_int_hvy.png,16,16,100,1,6,100,1,0|2|4|16|100|8|-6|0>0|2|4|16|100|8|6|0,0

25,Fighter,F,42,zoniqs_fighter_enh.png,16,16,30,1,5,150,1,0|2|5|10|125|9|0|0>3|4|5|25|400|7|0|0|8|4,0
26,Fighter,F,44,zoniqs_fighter_adv.png,16,16,35,1,6,200,1,0|2|5|10|150|10|0|0>3|4|5|25|400|8|0|0|8|5,0
27,FighterBomber,X,43,zoniqs_fbomber.png,16,16,90,1,4,200,2,1|2|5|10|100|10|0|0,0

28,StealthFighter,T,52,zoniqs_sfighter.png,16,16,30,1,5,150,0.4,0|2|5|10|125|7|0|0>3|4|5|30|500|10|0|0|9|4,0
29,StealthFighter,T,53,zoniqs_sfighter_adv.png,16,16,35,1,6,200,0.25,0|2|5|10|150|8|0|0>3|4|5|30|550|15|0|0|9|4,0

