Id,Type,Name,PreReqsIds,Cost,DurationTicks,Completed,Icon,ShortcutKey

1,4,Starbase,,0,0,True,
2,0,Upgrade Starbase,1,10000,480,False,tech_starplus.png,U
3,0,Advanced Scouts,1,5000,240,False,krael_scout-adv.png,S
4,0,Bombers,1,5000,240,False,krael_bomber.png,B
6,0,Heavy Bombers,2|4,5000,240,False,krael_bomber-hvy.png,B
8,0,Heavy Scouts,2|3,5000,240,False,krael_scout-hvy.png,S

#####
# Constructors

17,-1,Miner,,1000,30,False,krael_miner.png,M
18,-1,Resource Constructor,,3000,30,False,krael_constructor.png,C
24,-1,Starbase Constructor,,10000,120,False,krael_constructor.png,B
25,-1,Outpost Constructor,,5000,120,False,krael_constructor.png,O
26,-1,Tactical Constructor,,10000,120,False,krael_constructor.png,T
27,-1,Supremacy Constructor,,10000,120,False,krael_constructor.png,S
28,-1,Expansion Constructor,,10000,120,False,krael_constructor.png,E
29,-1,Shipyard Constructor,,10000,120,False,krael_constructor.png,Y

##### 
# Ship tech unlocks

30,4,Expansion,,0,0,True,
31,3,Upgrade Expansion,30,10000,240,False,tech_starplus.png,U
32,3,Interceptors,30,5000,120,False,krael_interceptor.png,I
33,3,Troop Transports,31,5000,120,False,krael_transport.png,T
34,3,Heavy Interceptors,32|31,5000,120,False,krael_interceptor-hvy.png,T

40,4,Supremacy,,0,0,True,
41,1,Upgrade Supremacy,40,10000,240,False,tech_starplus.png,U
42,1,Enhanced Fighter,40,5000,120,False,krael_fighter-enh.png,F
44,1,Advanced Fighter,41|42,5000,120,False,krael_fighter-adv.png,F

50,4,Tactical,,0,0,True,
51,2,Upgrade Tactical,50,10000,240,False,tech_starplus.png,U
52,2,Stealth Fighter,50,5000,120,False,krael_stealthripper.png,F
53,2,Advanced Stealth Fighter,51|52,5000,120,False,krael_stealthripper-adv.png,F
54,2,Stealth Bomber,51|4,5000,120,False,krael_stealthripper-base.png,B
55,2,Advanced Stealth Bomber,54,5000,120,False,krael_stealthripper-base-adv.png,B

#####
# Capital ships are built in the shipyard with 3 tiers

100,4,Shipyard,,0,0,True,
101,-2,Upgrade Shipyard (M),100,10000,480,False,tech_starplus.png,U
102,-2,Upgrade Shipyard (L),101,10000,480,False,tech_starplus.png,U

109,-2,Support Carrier,100,2000,60,False,krael_capsupport.png,S
116,-2,Super Carrier,101,4000,120,False,krael_capsupercarrier.png,R
118,-2,Megalodon,102|4,8000,120,False,krael_capmegladon.png,B

##### Game Balance Design:
# Gar is generally good but doesnt specifically counter...
# Sup > Exp > Tac, and Tac > Sup

#####
# Garrison Upgrades (+Speed, +Econ, +Engine & Weapon Boost)

300,0,Ship Speed +10%,1,3000,240,False,tech_radioactive.png,S
301,0,Ship Speed +20%,2|300,3000,240,False,tech_radioactive.png,S
302,0,Ship Speed +30%,2|301,3000,240,False,tech_radioactive.png,S
303,0,Miner Capacity +10%,1,1500,240,False,tech_minercapacity.png,P
304,0,Miner Capacity +20%,2|303,1500,240,False,tech_minercapacity.png,P
305,0,Miner Capacity +30%,2|304,1500,240,False,tech_minercapacity.png,P
306,0,Miner Efficiency +10%,1,1500,240,False,tech_minerpick.png,F
307,0,Miner Efficiency +20%,2|306,1500,240,False,tech_minerpick.png,F
308,0,Miner Efficiency +30%,2|307,1500,240,False,tech_minerpick.png,F
309,0,Unlock Engine Boost,2,10000,120,False,tech_radioactive.png,E
310,0,Unlock Weapon Boost,2,10000,120,False,tech_lightning.png,W

#####
# Expansion Upgrades (+Scan, +Shield, +Ability Effect)

400,3,Scan Range +50%,30,1500,240,False,tech_signal.png,A
401,3,Scan Range +100%,31|400,1500,240,False,tech_signal.png,A
402,3,Scan Range +150%,31|401,1500,240,False,tech_signal.png,A
403,3,Max Shield +50%,30,3000,240,False,tech_shield.png,H
404,3,Max Shield +100%,31|403,3000,240,False,tech_shield.png,H
405,3,Max Shield +150%,31|404,3000,240,False,tech_shield.png,H
