Id,Type,Name,PreReqsIds,Cost,DurationTicks,Completed,Icon,ShortcutKey

1,4,Starbase,,0,0,True,
2,0,Upgrade Starbase,1,10000,480,False,tech_starplus.png,U
3,0,Advanced Scouts,1,5000,240,False,zoniqs_scout_adv.png,S
4,0,Bombers,1,5000,240,False,zoniqs_bomber.png,B
5,0,Gunships,1,5000,240,False,zoniqs_gunship.png,G
6,0,Heavy Bombers,2|4,5000,240,False,zoniqs_bomber_hvy.png,B
7,0,Heavy Gunships,2|5,5000,240,False,zoniqs_gunship.png,G
8,0,Heavy Scouts,2|3,5000,240,False,zoniqs_scout_hvy.png,S

#####
# Constructors

17,-1,Miner,,1000,30,False,Dn_himnrbmp.png,M
18,-1,Resource Constructor,,3000,30,False,zoniqs_con.png,C
24,-1,Starbase Constructor,,10000,120,False,zoniqs_con.png,B
25,-1,Outpost Constructor,,5000,120,False,zoniqs_con.png,O
26,-1,Tactical Constructor,,10000,120,False,zoniqs_con.png,T
27,-1,Supremacy Constructor,,10000,120,False,zoniqs_con.png,S
28,-1,Expansion Constructor,,10000,120,False,zoniqs_con.png,E
29,-1,Shipyard Constructor,,10000,120,False,zoniqs_con.png,Y

##### 
# Ship tech unlocks

30,4,Expansion,,0,0,True,
31,3,Upgrade Expansion,30,10000,240,False,tech_starplus.png,U
32,3,Interceptors,30,5000,120,False,zoniqs_int.png,I
33,3,Troop Transports,31|5,5000,120,False,zoniqs_transport.png,T
34,3,Heavy Interceptors,32|31,5000,120,False,zoniqs_int_hvy.png,T

40,4,Supremacy,,0,0,True,
41,1,Upgrade Supremacy,40,10000,240,False,tech_starplus.png,U
42,1,Enhanced Fighter,40,5000,120,False,zoniqs_fighter_enh.png,F
43,1,Fighter Bomber,41|4,5000,120,False,zoniqs_fbomber.png,B
44,1,Advanced Fighter,41|42,5000,120,False,zoniqs_fighter_adv.png,F

50,4,Tactical,,0,0,True,
51,2,Upgrade Tactical,50,10000,240,False,tech_starplus.png,U
52,2,Stealth Fighter,50,5000,120,False,zoniqs_sfighter.png,F
53,2,Advanced Stealth Fighter,51|52,5000,120,False,zoniqs_sfighter_adv.png,F
54,2,Stealth Bomber,51|4,5000,120,False,zoniqs_sbomber.png,B
55,2,Advanced Stealth Bomber,54,5000,120,False,zoniqs_sbomber.png,B

#####
# Capital ships are built in the shipyard. Zoniqs can access Frigates early, but need adv tech to access further caps

100,4,Shipyard,,0,0,True,
101,-2,Upgrade Shipyard (M),100,10000,480,False,tech_starplus.png,U
102,-2,Upgrade Shipyard (L),101,10000,480,False,tech_starplus.png,U

110,-2,Support,100,2000,60,False,capsupport.png,S
111,-2,Corvette,100,2000,60,False,capcorv.png,C
112,-2,Frigate,100|4,3000,60,False,capfrig.png,F

113,-2,Advanced Support,101|31,2000,60,False,zoniqs_capexp.png,A
114,-2,Destroyer,101|41,2000,60,False,zoniqs_capsup.png,D
115,-2,Cruiser,101|51,2000,60,False,zoniqs_captac.png,R

116,-2,Heavy Support,102|31,2000,60,False,capsupport-hvy.png,H
117,-2,Devastator,102|41,2000,60,False,capdev.png,E
118,-2,Battlecruiser,102|51,2000,60,False,capbcruise.png,B

# Add drones to gunship?

#####
# Drone Ships can be built in the construction menu after unlocking ships

200,-1,Drone Scout,,300,20,False,Dn_hisctadvbmp.png,Z
201,-1,Drone Fighter,,500,20,False,Dn_hifigenhbmp.png,X
202,-1,Drone Interceptor,32,500,20,False,Dn_hiintbmp.png,G
203,-1,Drone Bomber,4,1000,40,False,Dn_hibmbbmp.png,V
204,-1,Drone Gunship,5,1000,40,False,Dn_hignsbmp.png,G
205,-1,Drone Stealth Fighter,52,500,20,False,Dn_histlbmp.png,F
206,-1,Drone Stealth Bomber,54,1000,20,False,Dn_hibmbstlbmp.png,D

##### Game Balance Design:
# Gar is generally good but doesnt specifically counter...
# Sup > Exp > Tac, and Tac > Sup

#####
# Garrison Upgrades (+Speed, +Econ, +Engine & Weapon Boost)

