Id,Type,Name,PreReqsIds,Cost,DurationTicks,Completed,Icon,ShortcutKey

1,4,Starbase,,0,0,True,
2,0,Upgrade Starbase,1,10000,480,False,tech_starplus.png,U
3,0,Advanced Scouts,1,5000,240,False,Dn_hisctadvbmp.png,S
4,0,Bombers,1,5000,240,False,Dn_hibmbbmp.png,B
5,0,Gunships,1,5000,240,False,Dn_hignsbmp.png,G
6,0,Heavy Bombers,2|4,5000,240,False,Dn_hibmbhvybmp.png,B
7,0,Heavy Gunships,2|5,5000,240,False,Dn_hignsbmp.png,G
8,0,Heavy Scouts,2|3,5000,240,False,Dn_hiscthvybmp.png,S
9,0,Advanced Towers,1,5000,120,False,Dn_hipdtabmp.png,T
10,0,Advanced Repair Towers,1,5000,120,False,Dn_hipdnbbmp.png,R
11,0,Advanced Missile Towers,1,5000,120,False,Dn_hipdchbmp.png,M
12,0,Advanced Minefield,1,5000,120,False,Dn_hicsmmnlbmp.png,N
13,0,Advanced Shield Towers,1,5000,120,False,Dn_hipdnbbmp_s.png,A
14,0,Combat Drones,1,5000,120,False,tech_chip.png,D

#####
# Constructors

17,-1,Miner,,1000,30,False,Dn_himnrbmp.png,M
18,-1,Resource Constructor,,3000,30,False,Dn_hiconbmp.png,C
19,-1,Tower Constructor,,1000,60,False,Dn_hicsmtwrbmp.png,T
20,-1,Repair Tower Constructor,,1000,60,False,Dn_hicsmtwrbmp.png,R
21,-1,Shield Tower Constructor,,1000,60,False,Dn_hicsmtwrbmp.png,A
22,-1,Missile Tower Constructor,,1000,60,False,Dn_hicsmtwrbmp.png,I
23,-1,Minefield Constructor,,1000,60,False,Dn_hicsmmnlbmp.png,N
24,-1,Starbase Constructor,,10000,120,False,Dn_hiconbmp.png,B
25,-1,Outpost Constructor,,5000,120,False,Dn_hiconbmp.png,O
26,-1,Tactical Constructor,,10000,120,False,Dn_hiconbmp.png,T
27,-1,Supremacy Constructor,,10000,120,False,Dn_hiconbmp.png,S
28,-1,Expansion Constructor,,10000,120,False,Dn_hiconbmp.png,E
29,-1,Shipyard Constructor,,10000,120,False,Dn_hiconbmp.png,Y

##### 
# Ship tech unlocks

30,4,Expansion,,0,0,True,
31,3,Upgrade Expansion,30,10000,240,False,tech_starplus.png,U
32,3,Interceptors,30,5000,120,False,Dn_hiintbmp.png,I
33,3,Troop Transports,31|5,5000,120,False,Dn_hitrnbmp.png,T
34,3,Heavy Interceptors,32|31,5000,120,False,Dn_hiinthvybmp.png,T

40,4,Supremacy,,0,0,True,
41,1,Upgrade Supremacy,40,10000,240,False,tech_starplus.png,U
42,1,Enhanced Fighter,40,5000,120,False,Dn_hifigenhbmp.png,F
43,1,Fighter Bomber,41|4,5000,120,False,Dn_hibmbfigbmp.png,B
44,1,Advanced Fighter,41|42,5000,120,False,Dn_hifigadvbmp.png,F

50,4,Tactical,,0,0,True,
51,2,Upgrade Tactical,50,10000,240,False,tech_starplus.png,U
52,2,Stealth Fighter,50,5000,120,False,Dn_histlbmp.png,F
53,2,Advanced Stealth Fighter,51|52,5000,120,False,Dn_histladvbmp.png,F
54,2,Stealth Bomber,51|4,5000,120,False,Dn_hibmbstlbmp.png,B
55,2,Advanced Stealth Bomber,54,5000,120,False,Dn_hibmbstlbmp.png,B

#####
# Capital ships are built in the shipyard with 4 tiers

100,4,Shipyard,,0,0,True,
101,-2,Upgrade Shipyard (M),100,10000,480,False,tech_starplus.png,U
102,-2,Upgrade Shipyard (L),101,10000,480,False,tech_starplus.png,U
103,-2,Upgrade Shipyard (XL),102,10000,480,False,tech_starplus.png,U

109,-2,Support,100,2000,60,False,capsupport.png,S
110,-2,Corvette,100,2000,60,False,capcorv.png,C
111,-2,Advanced Support,101,2500,60,False,capsupport-adv.png,A
112,-2,Destroyer,101,3000,60,False,capdest.png,D
113,-2,Frigate,101|4,3000,60,False,capfrig.png,F
114,-2,Heavy Support,102,3000,60,False,capsupport-hvy.png,H
115,-2,Devastator,102,4000,120,False,capdev.png,E
